context,en,es,de,fr,pt
add_p,Statistical tests performed,Tests estadísticos realizados,Durchgeführter statistischer Test,Tests statistiques réalisés,Testes estatísticos realizados
add_p,Wilcoxon rank-sum test,prueba de los rangos con signo de Wilcoxon,Wilcoxon-Mann-Whitney-Test,test de Wilcoxon-Mann-Whitney,Teste de soma-rank de Wilcoxon
add_p,chi-square test of independence,prueba chi cuadrado de independencia,Chi-Quadrat-Test auf Unabhängigkeit,test d'indépendance du khi-deux,teste qui-quadrado da independência
add_p,Fisher's exact test,test exacto de Fisher,Exakter Test nach Fisher,test exact de Fisher,Teste exato de Fisher
add_p,Statistic,Estadístico,Statistik,Statistique,Estatística
add_p,p-value,p-valor,p-Wert,p-valeur,valor-p
add_p,One-way ANOVA,ANOVA de un factor,Einfaktorielle Varianzanalyse,Analyse de la variance (ANOVA) à un facteur,ANOVA de um fator
add_p,Kruskal-Wallis test,test de Kruskall-Wallis,Kruskal-Wallis-Test,test de Kruskal-Wallis,Teste de Kruskal-Wallis
add_p,random intercept logistic regression,Regresión logística con intercepto aleatorio,Logistische Regression mit random Intercept,régression logistique à intercept aléatoire,regressão logística de interceptação aleatória
add_p,t-test,t de Student,T-Test,test de Student,teste t
tbl_regression,Confidence Interval,Intervalo de confianza,Konfidenzintervall,Intervalle de Confiance,Intervalo de confiança
tbl_regression,OR = Odds Ratio,OR = Razón de probabilidades,OR = Odds Ratio,OR = Odds Ratio,OR = Odds Ratio
tbl_regression,IRR = Incidence Rate Ratio,IRR = Razón de tasas de incidencia,IRR = Incidence Rate Ratio,IRR = rapport des taux d'incidence,IRR = taxa de incidência
tbl_regression,HR = Hazard Ratio,HR = Cociente de riesgos instantáneos,HR = Hazard Ratio,HR = rapport des risques instantanés,HR = taxa de risco
tbl_regression,CI = Confidence Interval,CI = Intervalo de confianza,CI = Konfidenzintervall,CI = Intervalle de Confiance,CI = intervalo de confiança
tbl_summary,Characteristic,Característica,Charakteristik,Caractéristique,Característica
tbl_summary,Unknown,Desconocido,Unbekannt,Manquant,Desconhecido
tbl_summary,Statistics presented,Estadísticos presentados,Angegebene Statistiken,Statistiques présentées,Estatísticas apresentadas
tbl_summary,mean,media,Mittelwert,moyenne,a média
tbl_summary,median,mediana,Median,médiane,mediana
tbl_summary,minimum,mínimo,Minimum,minimum,mínimo
tbl_summary,maximum,máximo,Maximum,maximum,máximo
tbl_summary,SD,DE,SD,ET,SD
tbl_summary,variance,varianza,Varianz,variance,variação
tbl_summary,IQR,,,EI,
tbl_summary,% missing,% datos perdidos,% fehlend,% manquant,% ausência de
tbl_summary,% not missing,% datos no perdidos,% vollständig,% non manquant,% não ausente
tbl_summary,N missing,N datos perdidos,N fehlend,N manquant,N ausente
tbl_summary,no. obs.,no. obs.,Anz. Beob.,no. obs.,não. obs.
add_q,Holm correction for multiple testing,Corrección de Holm para comparaciones múltiples,Holm-Korrektur für multiples Testen,correction de Holm pour tests multiples,Correção de Holm para testes múltiplos
add_q,Hochberg correction for multiple testing,Corrección de Hochberg para comparaciones múltiples,Hochberg-Korrektur für multiples Testen,correction de Hochberg pour tests multiples,Correção de Hochberg para vários testes
add_q,Hommel correction for multiple testing,Corrección de Hommel para comparaciones múltiples,Hommel-Korrektur für multiples Testen,correction de Hommel pour tests multiples,Correção de Hommel para vários testes
add_q,Bonferroni correction for multiple testing,Corrección de Bonferroni para comparaciones múltiples,Bonferroni-Korrektur für multiples Testen,correction de Bonferroni pour tests multiples,Correção de Bonferroni para vários testes
add_q,Benjamini & Hochberg correction for multiple testing,Corrección de Benjamini & Hochberg para comparaciones múltiples,Benjamini-Hochberg-Korrektur für multiples Testen,correction de Benjamini & Hochberg pour tests multiples,Correção de Benjamini e Hochberg para vários testes
add_q,Benjamini & Yekutieli correction for multiple testing,Corrección de Benjamini & Yekutieli para comparaciones múltiples,Benjamini-Yekutieli-Korrektur für multiples Testen,correction de Benjamini & Yekutieli pour tests multiples,Correção de Benjamini e Yekutieli para vários testes
add_q,False discovery rate correction for multiple testing,Corrección de comparaciones múltiples por tasa de falso descubrimiento,Korrektur der False Discovery Rate für multiples Testen,Correction du risque global d'erreur pour tests multiples,Correção de taxa de descoberta falsa para vários testes
add_q,No correction for multiple testing,Sin corrección para comparaciones múltiples,Ohne Multiplizitätskorrektur,sans correction pour tests multiples,Sem correção para vários testes
add_q,q-value,q-valor,q-Wert,q-valeur,valor-q
add_overall,Overall,Global,Gesamt,Total,No geral
tbl_survfit,Percentile,Percentil,Perzentil,Percentile,Percentil
tbl_survfit,Time,Tiempo,Zeit,Temps,Tempo
