context,en,pt
add_p.tbl_summary,One-way ANOVA,ANOVA (um fator)
add_p.tbl_summary,p-value,Valor p
add_p.tbl_summary,random intercept logistic regression,Regressão logística com intercepto aleatório
add_p.tbl_summary,Welch Two Sample t-test,Teste t com correção de Welch
add_p.tbl_summary,Paired t-test,Teste t pareado
add_p.tbl_summary,McNemar's Chi-squared test with continuity correction,Teste de McNemar com correção de continuidade
add_p.tbl_summary,McNemar's Chi-squared test,Teste de McNemar
tbl_regression,CI,IC
tbl_regression,CI = Confidence Interval,IC = Intervalo de confiança
tbl_regression,RR = Relative Risk,RR = Razão de riscos
tbl_regression,SE = Standard Error,SE = Erro padrão
tbl_summary,IQR,AIQ
tbl_summary,Range,Amplitude
tbl_summary,Variance,Variância
