property,type,description,additionalProperties,items,properties
description,string,Description of this method.,NULL,NULL,NULL
etagRequired,boolean,Whether this method requires an ETag to be specified. The ETag is sent as an HTTP If-Match or If-None-Match header.,NULL,NULL,NULL
httpMethod,string,HTTP method used by this method.,NULL,NULL,NULL
id,string,A unique ID for this method. This property can be used to match methods between different versions of Discovery.,NULL,NULL,NULL
mediaUpload,object,Media upload parameters.,NULL,NULL,"list(accept = list(type = ""array"", description = ""MIME Media Ranges for acceptable media uploads to this method."", items = list(type = ""string"")), maxSize = list(type = ""string"", description = ""Maximum size of a media upload, such as \""1MB\"", \""2GB\"" or \""3TB\"".""), protocols = list(type = ""object"", description = ""Supported upload protocols."", properties = list(resumable = list(type = ""object"", description = ""Supports the Resumable Media Upload protocol."", properties = list(multipart = list(type = ""boolean"", 
    description = ""True if this endpoint supports uploading multipart media."", default = ""true""), path = list(type = ""string"", description = ""The URI path to be used for upload. Should be used in conjunction with the basePath property at the api-level.""))), simple = list(type = ""object"", description = ""Supports uploading as a single HTTP request."", properties = list(multipart = list(type = ""boolean"", description = ""True if this endpoint supports upload multipart media."", default = ""true""), path = list(
    type = ""string"", description = ""The URI path to be used for upload. Should be used in conjunction with the basePath property at the api-level.""))))))"
parameterOrder,array,"Ordered list of required parameters, serves as a hint to clients on how to structure their method signatures. The array is ordered such that the ""most-significant"" parameter appears first.",NULL,"list(type = ""string"")",NULL
parameters,object,Details for all parameters in this method.,"list(`$ref` = ""JsonSchema"", description = ""Details for a single parameter in this method."")",NULL,NULL
path,string,The URI path of this REST method. Should be used in conjunction with the basePath property at the api-level.,NULL,NULL,NULL
request,object,The schema for the request.,NULL,NULL,"list(`$ref` = list(type = ""string"", description = ""Schema ID for the request schema.""), parameterName = list(type = ""string"", description = ""parameter name.""))"
response,object,The schema for the response.,NULL,NULL,"list(`$ref` = list(type = ""string"", description = ""Schema ID for the response schema.""))"
scopes,array,OAuth 2.0 scopes applicable to this method.,NULL,"list(type = ""string"")",NULL
supportsMediaDownload,boolean,Whether this method supports media downloads.,NULL,NULL,NULL
supportsMediaUpload,boolean,Whether this method supports media uploads.,NULL,NULL,NULL
supportsSubscription,boolean,Whether this method supports subscriptions.,NULL,NULL,NULL
useMediaDownloadService,boolean,"Indicates that downloads from this method should use the download service URL (i.e. ""/download""). Only applies if the method supports media download.",NULL,NULL,NULL
