CRAN,SPDX,NOTE
ACM version 1998,,
AGPL-3,AGPL-3.0,
Apache License version 1.1,Apache-1.1,
Apache License version 2.0,Apache-2.0,
Artistic-1.0,Artistic-1.0,
Artistic-2.0,Artistic-2.0,
BSD,BSD-3-Clause,
BSD_2_clause,BSD-2-Clause,
BSD_3_clause,BSD-3-Clause,
BSL version 1.0,BSL-1.0,
CC BY 3.0,CC-BY-3.0,
CC BY 4.0,CC-BY-4.0,
CC BY-NC 3.0,CC-BY-NC-3.0,
CC BY-NC 4.0,CC-BY-NC-4.0,
CC BY-NC-ND 3.0 US,CC-BY-NC-ND-3.0,
CC BY-NC-ND 4.0,CC-BY-NC-ND-4.0,
CC BY-NC-SA 3.0,CC-BY-NC-SA-3.0,
CC BY-NC-SA 4.0,CC-BY-NC-SA-4.0,
CC BY-SA 2.0,CC-BY-SA-2.0,
CC BY-SA 3.0,CC-BY-SA-3.0,
CC BY-SA 3.0 US,CC-BY-SA-3.0,
CC BY-SA 4.0,CC-BY-SA-4.0,
CC0,CC0-1.0,
CeCILL version 2,CECILL-2.0,
CPL version 1.0,CPL-1.0,
EPL version 1.0,EPL-1.0,
EUPL version 1.1,EUPL-1.1,
FreeBSD,BSD-2-Clause-FreeBSD,
GPL-2,GPL-2.0,
GPL-3,GPL-3.0,
LGPL-2,LGPL-2.0,
LGPL-2.1,LGPL-2.1,
LGPL-3,LGPL-3.0,
Lucent Public License version 1.02,LPL-1.02,
MIT,MIT,
MPL version 1.0,MPL-1.0,
MPL version 1.1,MPL-1.1,
MPL version 2.0,MPL-2.0,
Zlib,Zlib,
GPL,GPL-2.0,"Should probably translate to 2.0 | 3.0, but hard to express that"
GPL 2,GPL-2.0,Non-standard CRAN label
GPL 3,GPL-3.0,Non-standard CRAN label
LGPL 2,LGPL-2.0,Non-standard CRAN label
LGPL 2.1,LGPL-2.1,Non-standard CRAN label
LGPL 3,LGPL-3.0,Non-standard CRAN label
MPL 1.0,MPL-1.0,Non-standard CRAN label
MPL 1.1,MPL-1.1,Non-standard CRAN label
MPL 2.0,MPL-2.0,Non-standard CRAN label
AGPL 3,AGPL-3.0,Non-standard CRAN label
Apache License 1.1,Apache-1.1,Non-standard CRAN label
Apache License 2.0,Apache-2.0,Non-standard CRAN label
Artistic 1.0,Artistic-1.0,Non-standard CRAN label
Artistic 2.0,Artistic-2.0,Non-standard CRAN label
