"number","alphabet","symbol.latex","symbol.html","symbol.markdown","symbol.pandoc"
1,"a","*","*","\*","\*"
2,"b","\\dag","&dagger;","†","†"
3,"c","\\ddag","&Dagger;","‡","‡"
4,"d","\\S","&sect;","§","§"
5,"e","\\P","&para;","¶","¶"
6,"f","**","**","\*\*","\*\*"
7,"g","\\dag\\dag","&dagger;&dagger;","††","††"
8,"h","\\ddag\\ddag","&Dagger;&Dagger;","‡‡","‡‡"
9,"i","\\S\\S","&sect;&sect;","§§","§§"
10,"j","\\P\\P","&para;&para;","¶¶","¶¶"
11,"k","***","***","\*\*\*","\*\*\*"
12,"l","\\dag\\dag\\dag","&dagger;&dagger;&dagger;","†††","†††"
13,"m","\\ddag\\ddag\\ddag","&Dagger;&Dagger;&Dagger;","‡‡‡","‡‡‡"
14,"n","\\S\\S\\S","&sect;&sect;&sect;","§§§","§§§"
15,"o","\\P\\P\\P","&para;&para;&para;","¶¶¶","¶¶¶"
16,"p","****","****","\*\*\*\*","\*\*\*\*"
17,"q","\\dag\\dag\\dag\\dag","&dagger;&dagger;&dagger;&dagger;","††††","††††"
18,"r","\\ddag\\ddag\\ddag\\ddag","&Dagger;&Dagger;&Dagger;&Dagger;","‡‡‡‡","‡‡‡‡"
19,"s","\\S\\S\\S\\S","&sect;&sect;&sect;&sect;","§§§§","§§§§"
20,"t","\\P\\P\\P\\P","&para;&para;&para;&para;","¶¶¶¶","¶¶¶¶"
