reading_package	manip_package	op	type	time	size	max_memory	rows	cols
data.table	data.table	setup	process	0.05824787900000006	1600080624	13596225536	100000	1000
data.table	data.table	setup	real	0.05825209617614746	1600080624	13596225536	100000	1000
data.table	data.table	read	process	205.61311071900002	1600080624	13596225536	100000	1000
data.table	data.table	read	real	201.76576399803162	1600080624	13596225536	100000	1000
data.table	data.table	print	process	0.13403993000000014	1600080624	13596225536	100000	1000
data.table	data.table	print	real	0.13405299186706543	1600080624	13596225536	100000	1000
data.table	data.table	head	process	0.001164771000020437	1600080624	13596225536	100000	1000
data.table	data.table	head	real	0.0011682510375976562	1600080624	13596225536	100000	1000
data.table	data.table	tail	process	0.0012540889999854699	1600080624	13596225536	100000	1000
data.table	data.table	tail	real	0.0012569427490234375	1600080624	13596225536	100000	1000
data.table	data.table	sample	process	0.03256328700001632	1600080624	13596225536	100000	1000
data.table	data.table	sample	real	0.03256726264953613	1600080624	13596225536	100000	1000
data.table	data.table	filter	process	0.20218088300001114	1600080624	13596225536	100000	1000
data.table	data.table	filter	real	0.16787242889404297	1600080624	13596225536	100000	1000
data.table	data.table	aggregate	process	0.048374496000008094	1600080624	13596225536	100000	1000
data.table	data.table	aggregate	real	0.014370918273925781	1600080624	13596225536	100000	1000
read.delim	base	setup	process	3.6660000000132698e-6	1600080624	14050525184	100000	1000
read.delim	base	setup	real	5.7220458984375e-6	1600080624	14050525184	100000	1000
read.delim	base	read	process	510.41117117600004	1600080624	14050525184	100000	1000
read.delim	base	read	real	510.42269372940063	1600080624	14050525184	100000	1000
read.delim	base	print	process	0.14892288600003667	1600080624	14050525184	100000	1000
read.delim	base	print	real	0.1489250659942627	1600080624	14050525184	100000	1000
read.delim	base	head	process	0.006831051000062871	1600080624	14050525184	100000	1000
read.delim	base	head	real	0.006834268569946289	1600080624	14050525184	100000	1000
read.delim	base	tail	process	0.007016168999939509	1600080624	14050525184	100000	1000
read.delim	base	tail	real	0.007021188735961914	1600080624	14050525184	100000	1000
read.delim	base	sample	process	0.025838453000005757	1600080624	14050525184	100000	1000
read.delim	base	sample	real	0.025842905044555664	1600080624	14050525184	100000	1000
read.delim	base	filter	process	0.22350397200000316	1600080624	14050525184	100000	1000
read.delim	base	filter	real	0.2235558032989502	1600080624	14050525184	100000	1000
read.delim	base	aggregate	process	0.05853724200005672	1600080624	14050525184	100000	1000
read.delim	base	aggregate	real	0.05854058265686035	1600080624	14050525184	100000	1000
readr	dplyr	setup	process	0.33448946199999985	1600080624	13111070720	100000	1000
readr	dplyr	setup	real	0.33449411392211914	1600080624	13111070720	100000	1000
readr	dplyr	read	process	459.43154994500003	1600080624	13111070720	100000	1000
readr	dplyr	read	real	459.44729495048523	1600080624	13111070720	100000	1000
readr	dplyr	print	process	0.13655689199998733	1600080624	13111070720	100000	1000
readr	dplyr	print	real	0.21697449684143066	1600080624	13111070720	100000	1000
readr	dplyr	head	process	0.0032427959999949962	1600080624	13111070720	100000	1000
readr	dplyr	head	real	0.0032444000244140625	1600080624	13111070720	100000	1000
readr	dplyr	tail	process	0.0025115230000096744	1600080624	13111070720	100000	1000
readr	dplyr	tail	real	0.002513408660888672	1600080624	13111070720	100000	1000
readr	dplyr	sample	process	0.02890705900000512	1600080624	13111070720	100000	1000
readr	dplyr	sample	real	0.02890944480895996	1600080624	13111070720	100000	1000
readr	dplyr	filter	process	0.037404203999983565	1600080624	13111070720	100000	1000
readr	dplyr	filter	real	0.03740739822387695	1600080624	13111070720	100000	1000
readr	dplyr	aggregate	process	0.056806200999972134	1600080624	13111070720	100000	1000
readr	dplyr	aggregate	real	0.056809425354003906	1600080624	13111070720	100000	1000
vroom	base	setup	process	0.27099322299999984	1600080624	7050588160	100000	1000
vroom	base	setup	real	0.27102088928222656	1600080624	7050588160	100000	1000
vroom	base	read	process	16.096324971999998	1600080624	7050588160	100000	1000
vroom	base	read	real	3.1437342166900635	1600080624	7050588160	100000	1000
vroom	base	print	process	0.06175371999999868	1600080624	7050588160	100000	1000
vroom	base	print	real	0.06175589561462402	1600080624	7050588160	100000	1000
vroom	base	head	process	0.004202636999998788	1600080624	7050588160	100000	1000
vroom	base	head	real	0.004204511642456055	1600080624	7050588160	100000	1000
vroom	base	tail	process	0.003743497999998624	1600080624	7050588160	100000	1000
vroom	base	tail	real	0.003745555877685547	1600080624	7050588160	100000	1000
vroom	base	sample	process	0.004824033999998534	1600080624	7050588160	100000	1000
vroom	base	sample	real	0.0048258304595947266	1600080624	7050588160	100000	1000
vroom	base	filter	process	0.05477418799999967	1600080624	7050588160	100000	1000
vroom	base	filter	real	0.054776668548583984	1600080624	7050588160	100000	1000
vroom	base	aggregate	process	0.2514594879999983	1600080624	7050588160	100000	1000
vroom	base	aggregate	real	0.2514626979827881	1600080624	7050588160	100000	1000
vroom	dplyr	setup	process	0.36314286799999995	1600080624	7050731520	100000	1000
vroom	dplyr	setup	real	0.3631572723388672	1600080624	7050731520	100000	1000
vroom	dplyr	read	process	15.844784293	1600080624	7050731520	100000	1000
vroom	dplyr	read	real	3.108229875564575	1600080624	7050731520	100000	1000
vroom	dplyr	print	process	0.06392608800000232	1600080624	7050731520	100000	1000
vroom	dplyr	print	real	0.06392836570739746	1600080624	7050731520	100000	1000
vroom	dplyr	head	process	0.004407775999997199	1600080624	7050731520	100000	1000
vroom	dplyr	head	real	0.004410743713378906	1600080624	7050731520	100000	1000
vroom	dplyr	tail	process	0.0039727230000004	1600080624	7050731520	100000	1000
vroom	dplyr	tail	real	0.0039751529693603516	1600080624	7050731520	100000	1000
vroom	dplyr	sample	process	0.026044930000001187	1600080624	7050731520	100000	1000
vroom	dplyr	sample	real	0.026047945022583008	1600080624	7050731520	100000	1000
vroom	dplyr	filter	process	0.08114447399999847	1600080624	7050731520	100000	1000
vroom	dplyr	filter	real	0.0811469554901123	1600080624	7050731520	100000	1000
vroom	dplyr	aggregate	process	0.1597604110000006	1600080624	7050731520	100000	1000
vroom	dplyr	aggregate	real	0.15976333618164062	1600080624	7050731520	100000	1000
vroom_no_altrep	dplyr	setup	process	0.349206017	1600080624	13033082880	100000	1000
vroom_no_altrep	dplyr	setup	real	0.3492105007171631	1600080624	13033082880	100000	1000
vroom_no_altrep	dplyr	read	process	258.09181479800003	1600080624	13033082880	100000	1000
vroom_no_altrep	dplyr	read	real	247.31999611854553	1600080624	13033082880	100000	1000
