reading_package	manip_package	op	type	time	size	max_memory	rows	cols
read.delim	base	setup	process	3.063999999941558e-6	709936880	6621343744	2342339	37
read.delim	base	setup	real	5.245208740234375e-6	709936880	6621343744	2342339	37
read.delim	base	read	process	1089.464910198	709936880	6621343744	2342339	37
read.delim	base	read	real	1089.5732316970825	709936880	6621343744	2342339	37
read.delim	base	print	process	0.015051766999931715	709936880	6621343744	2342339	37
read.delim	base	print	real	0.015721797943115234	709936880	6621343744	2342339	37
read.delim	base	head	process	8.085290000963141e-4	709936880	6621343744	2342339	37
read.delim	base	head	real	8.099079132080078e-4	709936880	6621343744	2342339	37
read.delim	base	tail	process	0.0010067789999084198	709936880	6621343744	2342339	37
read.delim	base	tail	real	0.0010082721710205078	709936880	6621343744	2342339	37
read.delim	base	sample	process	0.0029781670000375016	709936880	6621343744	2342339	37
read.delim	base	sample	real	0.0029802322387695312	709936880	6621343744	2342339	37
read.delim	base	filter	process	0.49151955999991515	709936880	6621343744	2342339	37
read.delim	base	filter	real	0.49154090881347656	709936880	6621343744	2342339	37
read.delim	base	aggregate	process	0.08967751000000135	709936880	6621343744	2342339	37
read.delim	base	aggregate	real	0.08968019485473633	709936880	6621343744	2342339	37
readr	dplyr	setup	process	0.12630891799999988	709936880	6644965376	2342339	37
readr	dplyr	setup	real	0.1263124942779541	709936880	6644965376	2342339	37
readr	dplyr	read	process	32.593650083	709936880	6644965376	2342339	37
readr	dplyr	read	real	32.59428787231445	709936880	6644965376	2342339	37
readr	dplyr	print	process	0.04750896499999868	709936880	6644965376	2342339	37
readr	dplyr	print	real	0.04751086235046387	709936880	6644965376	2342339	37
readr	dplyr	head	process	0.0011317969999993238	709936880	6644965376	2342339	37
readr	dplyr	head	real	0.0011332035064697266	709936880	6644965376	2342339	37
readr	dplyr	tail	process	6.720350000009034e-4	709936880	6644965376	2342339	37
readr	dplyr	tail	real	6.732940673828125e-4	709936880	6644965376	2342339	37
readr	dplyr	sample	process	0.016384803000001114	709936880	6644965376	2342339	37
readr	dplyr	sample	real	0.01638650894165039	709936880	6644965376	2342339	37
readr	dplyr	filter	process	0.09458435599999859	709936880	6644965376	2342339	37
readr	dplyr	filter	real	0.09458684921264648	709936880	6644965376	2342339	37
readr	dplyr	aggregate	process	0.09379347599999477	709936880	6644965376	2342339	37
readr	dplyr	aggregate	real	0.0937960147857666	709936880	6644965376	2342339	37
vroom	base	setup	process	7.52309999998424e-5	709936880	4989079552	2342339	37
vroom	base	setup	real	7.796287536621094e-5	709936880	4989079552	2342339	37
vroom	base	read	process	0.16403843000000018	709936880	4989079552	2342339	37
vroom	base	read	real	0.16362786293029785	709936880	4989079552	2342339	37
vroom	base	print	process	0.056157112999999814	709936880	4989079552	2342339	37
vroom	base	print	real	0.05505537986755371	709936880	4989079552	2342339	37
vroom	base	head	process	5.586259999996734e-4	709936880	4989079552	2342339	37
vroom	base	head	real	5.600452423095703e-4	709936880	4989079552	2342339	37
vroom	base	tail	process	8.067250000003412e-4	709936880	4989079552	2342339	37
vroom	base	tail	real	8.080005645751953e-4	709936880	4989079552	2342339	37
vroom	base	sample	process	0.00669999900000029	709936880	4989079552	2342339	37
vroom	base	sample	real	0.006701469421386719	709936880	4989079552	2342339	37
vroom	base	filter	process	0.284221665	709936880	4989079552	2342339	37
vroom	base	filter	real	0.2842233180999756	709936880	4989079552	2342339	37
vroom	base	aggregate	process	2.1088666509999996	709936880	4989079552	2342339	37
vroom	base	aggregate	real	1.7768657207489014	709936880	4989079552	2342339	37
vroom	dplyr	setup	process	0.08314487400000026	709936880	4959260672	2342339	37
vroom	dplyr	setup	real	0.08314847946166992	709936880	4959260672	2342339	37
vroom	dplyr	read	process	0.1629412410000004	709936880	4959260672	2342339	37
vroom	dplyr	read	real	0.16250014305114746	709936880	4959260672	2342339	37
vroom	dplyr	print	process	0.04872845899999989	709936880	4959260672	2342339	37
vroom	dplyr	print	real	0.047605037689208984	709936880	4959260672	2342339	37
vroom	dplyr	head	process	0.001250199999999868	709936880	4959260672	2342339	37
vroom	dplyr	head	real	0.0012516975402832031	709936880	4959260672	2342339	37
vroom	dplyr	tail	process	7.490030000001369e-4	709936880	4959260672	2342339	37
vroom	dplyr	tail	real	0.00075054168701171875	709936880	4959260672	2342339	37
vroom	dplyr	sample	process	0.01527529800000016	709936880	4959260672	2342339	37
vroom	dplyr	sample	real	0.01527714729309082	709936880	4959260672	2342339	37
vroom	dplyr	filter	process	0.305116822	709936880	4959260672	2342339	37
vroom	dplyr	filter	real	0.30511975288391113	709936880	4959260672	2342339	37
vroom	dplyr	aggregate	process	1.2913172750000004	709936880	4959260672	2342339	37
vroom	dplyr	aggregate	real	1.2913398742675781	709936880	4959260672	2342339	37
vroom_no_altrep	dplyr	setup	process	0.08015654499999991	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	setup	real	0.08015990257263184	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	read	process	34.306891702	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	read	real	14.682522296905518	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	print	process	0.04313145500000104	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	print	real	0.04313325881958008	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	head	process	8.676749999949607e-4	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	head	real	8.692741394042969e-4	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	tail	process	5.269520000013017e-4	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	tail	real	5.283355712890625e-4	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	sample	process	0.01451422600000285	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	sample	real	0.014516115188598633	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	filter	process	0.4679828829999977	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	filter	real	0.46799564361572266	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	aggregate	process	0.09054751499999725	709936880	6397005824	2342339	37
vroom_no_altrep	dplyr	aggregate	real	0.09055042266845703	709936880	6397005824	2342339	37
