reading_package	manip_package	op	type	time	size	max_memory	rows	cols
data.table	data.table	setup	process	0.0535136759999999	1641999923	6853369856	14388451	11
data.table	data.table	setup	real	0.05351758003234863	1641999923	6853369856	14388451	11
data.table	data.table	read	process	28.634132631	1641999923	6853369856	14388451	11
data.table	data.table	read	real	5.829838037490845	1641999923	6853369856	14388451	11
data.table	data.table	print	process	0.011972201999999044	1641999923	6853369856	14388451	11
data.table	data.table	print	real	0.011974573135375977	1641999923	6853369856	14388451	11
data.table	data.table	head	process	2.2678200000214588e-4	1641999923	6853369856	14388451	11
data.table	data.table	head	real	2.281665802001953e-4	1641999923	6853369856	14388451	11
data.table	data.table	tail	process	1.8586699999900702e-4	1641999923	6853369856	14388451	11
data.table	data.table	tail	real	0.00018739700317382812	1641999923	6853369856	14388451	11
data.table	data.table	sample	process	6.299819999995293e-4	1641999923	6853369856	14388451	11
data.table	data.table	sample	real	6.320476531982422e-4	1641999923	6853369856	14388451	11
data.table	data.table	filter	process	0.34992646499999935	1641999923	6853369856	14388451	11
data.table	data.table	filter	real	0.10343503952026367	1641999923	6853369856	14388451	11
data.table	data.table	aggregate	process	1.6930106420000008	1641999923	6853369856	14388451	11
data.table	data.table	aggregate	real	0.76350998878479	1641999923	6853369856	14388451	11
read.delim	base	setup	process	2.617000000038061e-6	1641999923	6637604864	14388451	11
read.delim	base	setup	real	4.291534423828125e-6	1641999923	6637604864	14388451	11
read.delim	base	read	process	72.30426375399999	1641999923	6637604864	14388451	11
read.delim	base	read	real	72.30614757537842	1641999923	6637604864	14388451	11
read.delim	base	print	process	0.0059510929999930795	1641999923	6637604864	14388451	11
read.delim	base	print	real	0.0059528350830078125	1641999923	6637604864	14388451	11
read.delim	base	head	process	1.9695099999239574e-4	1641999923	6637604864	14388451	11
read.delim	base	head	real	1.983642578125e-4	1641999923	6637604864	14388451	11
read.delim	base	tail	process	4.1288200000622055e-4	1641999923	6637604864	14388451	11
read.delim	base	tail	real	4.1413307189941406e-4	1641999923	6637604864	14388451	11
read.delim	base	sample	process	3.71048000005203e-4	1641999923	6637604864	14388451	11
read.delim	base	sample	real	3.726482391357422e-4	1641999923	6637604864	14388451	11
read.delim	base	filter	process	1.2673573149999982	1641999923	6637604864	14388451	11
read.delim	base	filter	real	1.2681455612182617	1641999923	6637604864	14388451	11
read.delim	base	aggregate	process	0.8941533619999973	1641999923	6637604864	14388451	11
read.delim	base	aggregate	real	0.8941662311553955	1641999923	6637604864	14388451	11
readr	dplyr	setup	process	0.33623017600000016	1641999923	7415922688	14388451	11
readr	dplyr	setup	real	0.3362598419189453	1641999923	7415922688	14388451	11
readr	dplyr	read	process	37.30245180599999	1641999923	7415922688	14388451	11
readr	dplyr	read	real	37.303383588790894	1641999923	7415922688	14388451	11
readr	dplyr	print	process	0.12003345499999796	1641999923	7415922688	14388451	11
readr	dplyr	print	real	0.14695501327514648	1641999923	7415922688	14388451	11
readr	dplyr	head	process	0.0013562000000035823	1641999923	7415922688	14388451	11
readr	dplyr	head	real	0.0013580322265625	1641999923	7415922688	14388451	11
readr	dplyr	tail	process	6.067529999995713e-4	1641999923	7415922688	14388451	11
readr	dplyr	tail	real	6.082057952880859e-4	1641999923	7415922688	14388451	11
readr	dplyr	sample	process	0.01610033400000077	1641999923	7415922688	14388451	11
readr	dplyr	sample	real	0.01610279083251953	1641999923	7415922688	14388451	11
readr	dplyr	filter	process	0.24887825199999725	1641999923	7415922688	14388451	11
readr	dplyr	filter	real	0.24891424179077148	1641999923	7415922688	14388451	11
readr	dplyr	aggregate	process	0.5376497970000003	1641999923	7415922688	14388451	11
readr	dplyr	aggregate	real	0.5376534461975098	1641999923	7415922688	14388451	11
vroom	base	setup	process	0.233707	1666833417	6815055872	14776615	11
vroom	base	setup	real	0.23376321099931374	1666833417	6815055872	14776615	11
vroom	base	read	process	17.640452000000003	1666833417	6815055872	14776615	11
vroom	base	read	real	1.3566655699978583	1666833417	6815055872	14776615	11
vroom	base	print	process	0.1533760000000015	1666833417	6815055872	14776615	11
vroom	base	print	real	0.15729006798937917	1666833417	6815055872	14776615	11
vroom	base	head	process	0.0020479999999984955	1666833417	6815055872	14776615	11
vroom	base	head	real	0.0020507239969447255	1666833417	6815055872	14776615	11
vroom	base	tail	process	4.980000000003315e-4	1666833417	6815055872	14776615	11
vroom	base	tail	real	5.036990041844547e-4	1666833417	6815055872	14776615	11
vroom	base	sample	process	2.119999999976585e-4	1666833417	6815055872	14776615	11
vroom	base	sample	real	2.1384801948443055e-4	1666833417	6815055872	14776615	11
vroom	base	filter	process	1.1206159999999983	1666833417	6815055872	14776615	11
vroom	base	filter	real	1.1206832609605044	1666833417	6815055872	14776615	11
vroom	base	aggregate	process	8.975451	1666833417	6815055872	14776615	11
vroom	base	aggregate	real	7.352519184001721	1666833417	6815055872	14776615	11
vroom	dplyr	setup	process	0.443401	1666833417	6881202176	14776615	11
vroom	dplyr	setup	real	0.4445208079996519	1666833417	6881202176	14776615	11
vroom	dplyr	read	process	16.979603	1666833417	6881202176	14776615	11
vroom	dplyr	read	real	1.2900599709828384	1666833417	6881202176	14776615	11
vroom	dplyr	print	process	0.07167099999999849	1666833417	6881202176	14776615	11
vroom	dplyr	print	real	0.07509800099069253	1666833417	6881202176	14776615	11
vroom	dplyr	head	process	0.0017300000000020077	1666833417	6881202176	14776615	11
vroom	dplyr	head	real	0.00173125701257959	1666833417	6881202176	14776615	11
vroom	dplyr	tail	process	3.6899999999917554e-4	1666833417	6881202176	14776615	11
vroom	dplyr	tail	real	3.7027703365311027e-4	1666833417	6881202176	14776615	11
vroom	dplyr	sample	process	0.010666000000000508	1666833417	6881202176	14776615	11
vroom	dplyr	sample	real	0.010672853037249297	1666833417	6881202176	14776615	11
vroom	dplyr	filter	process	1.3317319999999988	1666833417	6881202176	14776615	11
vroom	dplyr	filter	real	1.3320457949885167	1666833417	6881202176	14776615	11
vroom	dplyr	aggregate	process	3.956316000000001	1666833417	6881202176	14776615	11
vroom	dplyr	aggregate	real	3.9592064779717475	1666833417	6881202176	14776615	11
vroom_no_altrep	dplyr	setup	process	0.301629645	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	setup	real	0.3016328811645508	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	read	process	47.375392178000006	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	read	real	18.417577743530273	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	print	process	0.1009485880000014	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	print	real	0.11608505249023438	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	head	process	0.001024977000000149	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	head	real	0.0010266304016113281	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	tail	process	4.7993700000148465e-4	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	tail	real	4.813671112060547e-4	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	sample	process	0.013319092999999782	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	sample	real	0.0133209228515625	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	filter	process	0.960716675999997	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	filter	real	0.9607300758361816	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	aggregate	process	1.2211422310000017	1641999923	7029014528	14388451	11
vroom_no_altrep	dplyr	aggregate	real	1.2211759090423584	1641999923	7029014528	14388451	11
