reading_package	manip_package	op	type	time	size	max_memory	rows	cols
base	gzip	setup	process	56.307022157	1641999923	6515875840	14388451	11
base	gzip	setup	real	16.904335260391235	1641999923	6515875840	14388451	11
base	gzip	writing	process	197.11310746799998	1641999923	6515875840	14388451	11
base	gzip	writing	real	197.12195253372192	1641999923	6515875840	14388451	11
base	multithreaded_gzip	setup	process	49.800825008	1641999923	6515879936	14388451	11
base	multithreaded_gzip	setup	real	15.864639043807983	1641999923	6515879936	14388451	11
base	multithreaded_gzip	writing	process	97.815085082	1641999923	6515879936	14388451	11
base	multithreaded_gzip	writing	real	97.83104109764099	1641999923	6515879936	14388451	11
base	uncompressed	setup	process	48.850021397	1641999923	6515879936	14388451	11
base	uncompressed	setup	real	16.385770320892334	1641999923	6515879936	14388451	11
base	uncompressed	writing	process	97.42563251000001	1641999923	6515879936	14388451	11
base	uncompressed	writing	real	97.43097257614136	1641999923	6515879936	14388451	11
base	zstandard	setup	process	57.130642056999996	1641999923	6515888128	14388451	11
base	zstandard	setup	real	18.90769624710083	1641999923	6515888128	14388451	11
base	zstandard	writing	process	99.85411830200002	1641999923	6515888128	14388451	11
base	zstandard	writing	real	99.8676381111145	1641999923	6515888128	14388451	11
data.table	gzip	setup	process	57.120600576	1641999923	6518173696	14388451	11
data.table	gzip	setup	real	19.275273323059082	1641999923	6518173696	14388451	11
data.table	gzip	writing	process	67.75096147299999	1641999923	6518173696	14388451	11
data.table	gzip	writing	real	67.75405859947205	1641999923	6518173696	14388451	11
data.table	multithreaded_gzip	setup	process	52.228046424	1641999923	7046705152	14388451	11
data.table	multithreaded_gzip	setup	real	18.820579051971436	1641999923	7046705152	14388451	11
data.table	multithreaded_gzip	writing	process	67.654484228	1641999923	7046705152	14388451	11
data.table	multithreaded_gzip	writing	real	8.864737272262573	1641999923	7046705152	14388451	11
data.table	uncompressed	setup	process	51.447035740000004	1641999923	6576988160	14388451	11
data.table	uncompressed	setup	real	16.117270708084106	1641999923	6576988160	14388451	11
data.table	uncompressed	writing	process	9.219789825999996	1641999923	6576988160	14388451	11
data.table	uncompressed	writing	real	1.4708619117736816	1641999923	6576988160	14388451	11
readr	gzip	setup	process	52.427885992	1641999923	6816428032	14388451	11
readr	gzip	setup	real	16.014821529388428	1641999923	6816428032	14388451	11
readr	gzip	writing	process	120.15885149100001	1641999923	6816428032	14388451	11
readr	gzip	writing	real	120.1623752117157	1641999923	6816428032	14388451	11
readr	multithreaded_gzip	setup	process	52.571174903999996	1641999923	6816079872	14388451	11
readr	multithreaded_gzip	setup	real	16.05108642578125	1641999923	6816079872	14388451	11
readr	multithreaded_gzip	writing	process	53.408188828	1641999923	6816079872	14388451	11
readr	multithreaded_gzip	writing	real	53.427462577819824	1641999923	6816079872	14388451	11
readr	uncompressed	setup	process	50.408979955	1641999923	6815977472	14388451	11
readr	uncompressed	setup	real	16.516019582748413	1641999923	6815977472	14388451	11
readr	uncompressed	writing	process	52.224211567000005	1641999923	6815977472	14388451	11
readr	uncompressed	writing	real	52.229180574417114	1641999923	6815977472	14388451	11
readr	zstandard	setup	process	53.053004752	1641999923	6815940608	14388451	11
readr	zstandard	setup	real	17.89621663093567	1641999923	6815940608	14388451	11
readr	zstandard	writing	process	54.141594968999996	1641999923	6815940608	14388451	11
readr	zstandard	writing	real	54.15725231170654	1641999923	6815940608	14388451	11
vroom	gzip	setup	process	58.208655639999996	1641999923	6657384448	14388451	11
vroom	gzip	setup	real	18.150486946105957	1641999923	6657384448	14388451	11
vroom	gzip	writing	process	93.763101656999993	1641999923	6657384448	14388451	11
vroom	gzip	writing	real	74.44156193733215	1641999923	6657384448	14388451	11
vroom	multithreaded_gzip	setup	process	52.529673003999996	1641999923	6656368640	14388451	11
vroom	multithreaded_gzip	setup	real	17.085912942886353	1641999923	6656368640	14388451	11
vroom	multithreaded_gzip	writing	process	23.073533718	1641999923	6656368640	14388451	11
vroom	multithreaded_gzip	writing	real	8.076940298080444	1641999923	6656368640	14388451	11
vroom	uncompressed	setup	process	52.838888093	1641999923	7582793728	14388451	11
vroom	uncompressed	setup	real	18.450870513916016	1641999923	7582793728	14388451	11
vroom	uncompressed	writing	process	22.587353183000005	1641999923	7582793728	14388451	11
vroom	uncompressed	writing	real	1.6948139667510986	1641999923	7582793728	14388451	11
vroom	zstandard	setup	process	51.565757179	1641999923	6656360448	14388451	11
vroom	zstandard	setup	real	16.19530463218689	1641999923	6656360448	14388451	11
vroom	zstandard	writing	process	22.155763127999997	1641999923	6656360448	14388451	11
vroom	zstandard	writing	real	12.370139837265015	1641999923	6656360448	14388451	11
