processor,meanpower,benchmark,frequency,cpuid
p1,7.324179,bzip2,2533000,0
p1,7.496593,bzip2,2533000,0
p1,7.405863,bzip2,2533000,0
p1,6.363187,bzip2,2133000,0
p1,6.395308,bzip2,2133000,0
p1,6.384302,bzip2,2133000,0
p1,5.490629,bzip2,1733000,0
p1,5.483198,bzip2,1733000,0
p1,5.480151,bzip2,1733000,0
p1,4.649210,bzip2,1199000,0
p1,4.630940,bzip2,1199000,0
p1,4.625473,bzip2,1199000,0
p1,7.428633,bzip2,2533000,1
p1,7.427268,bzip2,2533000,1
p1,7.331579,bzip2,2533000,1
p1,6.347989,bzip2,2133000,1
p1,6.365998,bzip2,2133000,1
p1,6.357357,bzip2,2133000,1
p1,5.627052,bzip2,1733000,1
p1,5.608685,bzip2,1733000,1
p1,5.615898,bzip2,1733000,1
p1,4.741167,bzip2,1199000,1
p1,4.786623,bzip2,1199000,1
p1,4.762826,bzip2,1199000,1
p1,7.004987,cactusADM,2533000,0
p1,7.093704,cactusADM,2533000,0
p1,7.025764,cactusADM,2533000,0
p1,6.151898,cactusADM,2133000,0
p1,6.146071,cactusADM,2133000,0
p1,6.266060,cactusADM,2133000,0
p1,5.443718,cactusADM,1733000,0
p1,5.400585,cactusADM,1733000,0
p1,5.453255,cactusADM,1733000,0
p1,4.586592,cactusADM,1199000,0
p1,4.569230,cactusADM,1199000,0
p1,4.635432,cactusADM,1199000,0
p1,6.991971,cactusADM,2533000,1
p1,7.014679,cactusADM,2533000,1
p1,7.024759,cactusADM,2533000,1
p1,6.140629,cactusADM,2133000,1
p1,6.321114,cactusADM,2133000,1
p1,6.206828,cactusADM,2133000,1
p1,5.641199,cactusADM,1733000,1
p1,5.576559,cactusADM,1733000,1
p1,5.546000,cactusADM,1733000,1
p1,4.703030,cactusADM,1199000,1
p1,4.703498,cactusADM,1199000,1
p1,4.709328,cactusADM,1199000,1
p1,0.802887,cpuload_all_0_4096,2533000,0
p1,0.823776,cpuload_all_0_4096,2533000,0
p1,0.813596,cpuload_all_0_4096,2533000,0
p1,0.705422,cpuload_all_0_4096,2133000,0
p1,0.700868,cpuload_all_0_4096,2133000,0
p1,0.772355,cpuload_all_0_4096,2133000,0
p1,0.769459,cpuload_all_0_4096,1733000,0
p1,0.785656,cpuload_all_0_4096,1733000,0
p1,0.741173,cpuload_all_0_4096,1733000,0
p1,0.715079,cpuload_all_0_4096,1199000,0
p1,0.746938,cpuload_all_0_4096,1199000,0
p1,0.744320,cpuload_all_0_4096,1199000,0
p1,0.793975,cpuload_all_0_4096,2533000,1
p1,0.801187,cpuload_all_0_4096,2533000,1
p1,0.821500,cpuload_all_0_4096,2533000,1
p1,0.769949,cpuload_all_0_4096,2133000,1
p1,0.803394,cpuload_all_0_4096,2133000,1
p1,0.797375,cpuload_all_0_4096,2133000,1
p1,0.752796,cpuload_all_0_4096,1733000,1
p1,0.682685,cpuload_all_0_4096,1733000,1
p1,0.830054,cpuload_all_0_4096,1733000,1
p1,0.828793,cpuload_all_0_4096,1199000,1
p1,0.734464,cpuload_all_0_4096,1199000,1
p1,0.729982,cpuload_all_0_4096,1199000,1
p1,2.639820,cpuload_all_25_4096,2533000,0
p1,2.646274,cpuload_all_25_4096,2533000,0
p1,2.680734,cpuload_all_25_4096,2533000,0
p1,2.410497,cpuload_all_25_4096,2133000,0
p1,2.438758,cpuload_all_25_4096,2133000,0
p1,2.397109,cpuload_all_25_4096,2133000,0
p1,2.175346,cpuload_all_25_4096,1733000,0
p1,2.244378,cpuload_all_25_4096,1733000,0
p1,2.220490,cpuload_all_25_4096,1733000,0
p1,2.007379,cpuload_all_25_4096,1199000,0
p1,2.024049,cpuload_all_25_4096,1199000,0
p1,2.017452,cpuload_all_25_4096,1199000,0
p1,2.583530,cpuload_all_25_4096,2533000,1
p1,2.605316,cpuload_all_25_4096,2533000,1
p1,2.675611,cpuload_all_25_4096,2533000,1
p1,2.354572,cpuload_all_25_4096,2133000,1
p1,2.368738,cpuload_all_25_4096,2133000,1
p1,2.394058,cpuload_all_25_4096,2133000,1
p1,2.167476,cpuload_all_25_4096,1733000,1
p1,2.190850,cpuload_all_25_4096,1733000,1
p1,2.200268,cpuload_all_25_4096,1733000,1
p1,2.017053,cpuload_all_25_4096,1199000,1
p1,2.018347,cpuload_all_25_4096,1199000,1
p1,2.013233,cpuload_all_25_4096,1199000,1
p1,7.160959,cpuload_all_50_4096,2533000,0
p1,7.049209,cpuload_all_50_4096,2533000,0
p1,7.059752,cpuload_all_50_4096,2533000,0
p1,6.289371,cpuload_all_50_4096,2133000,0
